연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-15091,가족친화인증기업,주식회사 티움피엠씨,2898800386,이찬희,L.부동산업(68),부동산 임대 및 공급업,서울특별시 강남구 삼성로 5708층 (석천빌딩),10,2500000,서울특별시,3,NA,-48.8,NA,0.2,4,4,1,0,,1,0,3
2022-00201,신청기업,효성청과주식회사,5048113350,김형수,G.도매 및 소매업(45~47),상품 중개업,대구 북구 매천로18길 34(매천동),37,2537583.333,대구광역시,3,-20.5,3.3,96.5,0.7,3,3,1,0,,0,0,3
2022-12136,메인비즈기업,황남빵,5050394362,최상은,I.숙박 및 음식점업(55~56),음식점업,경상북도 경주시 태종로 783,27,NA,경상북도,3,-75.1,2.7,205.5,0.5,2,2,0,0,,0,0,3
2022-14411,사회적기업,협동조합 꿈꾸는 문화놀이터 뜻,1318647701,정윤호,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,인천광역시 남동구 인주대로888번길 36(만수동) 3층 301호,3,2500000,인천광역시,1,339.2,19.1,138,1.9,1,3,1,1,,1,0,1
2022-05639,이노비즈기업,현빈개발(주),2148723087,권재훈,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",개인 및 가정용품 수리업,"서울 서초구 논현로 79710호 (양재동, 윈드스톤호피스텔빌딩)",21,2500000,서울특별시,2,11.6,5.1,81.8,1.9,2,2.3,1,0,,1,0,2
2022-11022,메인비즈기업,합자회사 보령환경,3138101700,"문영숙,최대윤","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",충남 보령시 신설3길 26-3(동대동),29,2500000,충청남도,3,74,8.6,61.1,0.6,3,2,1,0,,0,0,3
2022-13390,메인비즈기업,합자회사 건우개발,5118112266,신윤교,B.광업(05~08),토사석 광업,경북 문경시 산북면 운달로 388건우개발,17,2500000,경상북도,NA,NA,3.7,51,0.6,NA,NA,0,0,,0,0,NA
2022-02642,이노비즈기업,한성에스앤아이(주),6208115005,정우영,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"경남 창원시 마산회원구 봉암북7길 212동 301호(봉암동, 경상남도지능형홈산업화센터)",236,1750000,경상남도,2.4,NA,17.8,113.4,1.1,2.3,1.8,1,1,,1,0,2.4
2022-16507,안전보건경영시스템 인증,한산기전(주)삼천포사업소,6138149680,조현수,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,"경상남도 사천시 삼천포대교로 5031310호 (동림동, 현대주택)",36,3600000,경상남도,4,420,11.7,28.8,2.4,5,1,1,1,,1,0,4
2022-03795,이노비즈기업,한산 시피에스(주),1078166020,"이기웅, 김용강",F.건설업(41~42),건설업본사(소분류),"경기 광명시 하안로 60비동 809, 810호 (소하동, 광명테크노파크)",23,3366666.667,경기도,NA,85.3,5.3,29.3,1.7,NA,NA,1,1,,1,0,NA
2022-00767,신청기업,한맥개발㈜,5128110354,임기주,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,경북 예천군 호명면 한맥골프장길 72(골프장-클럽하우스),50,2541666.667,경상북도,2.5,120.7,4.9,98.7,0.2,2.3,2.5,1,0,,1,0,2.5
2022-00172,신청기업,한국후꼬꾸(주),1348105893,권익준,C.제조업(10~34),자동차 신품 부품 제조업,경기 안산시 단원구 동산로 63401호 (원시동),352,3096666.667,경기도,3,-90.4,0.4,55.6,1.2,2,3,0,0,,1,0,3
2022-00800,대한민국 일자리 으뜸기업,한국항공서비스 주식회사,3408601051,조연기,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,경남 사천시 사천읍 항공로 64,227,3437500,경상남도,2.4,NA,-5.4,11.4,0.1,2.9,2.8,1,1,,0,0,2.4
2022-16542,안전보건경영시스템 인증,한국파워엔지니어링서비스주식회사,1278646080,이원조,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,서울 강남구 테헤란로55길 27(역삼동) 예림빌딩 4층,66,2333333.333,서울특별시,3.1,-12,7.1,30.7,0.4,3.5,2.3,0,0,,0,0,3.1
2022-14744,가족친화인증기업,한국지방재정공제회,1058202707,김동현,K.금융 및 보험업(64~66),연금 및 공제업,서울 마포구 마포대로 136(공덕동),71,3521666.667,서울특별시,3.4,102.3,2.1,1.2,NA,4,3.6,0,0,,1,0,3.4
